content,score,sentiment
kadang download high definition mendukung ulang,4,2
terima kasih perusahaan pubg menemani bermain terima kasih,5,2
game,3,1
suka,2,0
tolong pakai suntikkan kurangi biar ramai game,1,0
pubg disaat download terinstall,4,2
kakak tolong tim mati hidupkan teman hidup tolong kaya free fire,3,1
gamenya bagus gameplaynya seru bermain sinyal merah itupun dilobi berkalikali ganti server semoga diperbaiki gangguan sinyal bug terima kasih,2,0
game jelek,2,0
habis update mainnya frame diperbaiki kulihat pubg musim kemarin enak mainya frame sinyal bagus frame,3,1
game haram pintu,1,0
bug jelek,3,1
game bagus kadang suka frame drop tolong kadang player lag mobil biar tim mati kadang pakai bom report diamkan tolong playernya kasih peringatan,2,0
turunkan kapasitas mega byte biar asyik mainnya,4,2
merepotkan update heran,1,0
hai developer game perbaiki terima kasih kerja kerasnya delay tekan tombol peek fire kepencet tombol tim tim noob peringkat platinum peringkat gold tim pro tolong pisahkan player noob pro biar tim terbebani,3,1
bagus banget gamenya,5,2
game akun hilang handphone lupa sandi reset nama akun abyan abyan tolong kembalikan akun kasih bintang,4,2
wow jelek,5,2
bug mikropon lag,3,1
update lambat game aneh tolong kesadaran memperbaiki kalah game sebelah,2,0
pubg cheat report edit fixed uninstall pubg cacat cheat tutorial cheat unbanned youtube main pubg seru bintang minus kukasih minus,1,0
lambat banget kakak tolong perbaiki,2,0
ringankan gamenya handphone sanggup,2,0
weird many bug,1,0
bagus lag,4,2
game download selesai ulang kakak menghabiskan pakai,2,0
game bagus segi grafis bagus kendaraannya bagus update tolong tambahkan tank seru terima kasih,3,1
update update perbaiki bug bug realistis game bug,2,0
bug giroskop game kaya call duty apex state giroskop aman pubg main match giroskop gerak arahkan tolong perbaiki bug next update,1,0
bug,4,2
download kali pasang peringatan penyimpanan,1,0
cemas celana masuk shield,3,1
gamenya seru semenjak aturan tiernya dibawah main bareng teman,3,1
data peta download hilang,2,0
menanggapi panitia lambat tim teaming banned permanen turnamen sekelas,1,0
lag turun sinyal pakai wifi lag,3,1
game bagus banget kebanyak bug lobi royale pass tutup,5,2
bermain pubg,5,2
game bagus sinyal lambat tolong perbaiki,4,2
tolong kuota boros boros kasihan main pakai kuota tolong update kedepannya kuota boros boros game bagus,3,1
maaf anak,2,0
lumayan mengesalkan,4,2
game bagus,5,2
developer tolong atasi bug respawn,3,1
masuk tayangan ulang lanjutan lobi,3,1
bagus menurutku,4,2
halo kakak tencent suka game pro btr menghabiskan uang ayahku top game game beban orang tua temanku gilbert terima kasih tencent,4,2
game permainan imbang lawan seru imbang malas main tolong imbang lawan biar sesuai lawan kuat,1,0
game battle royale terbaik bug cheat,3,1
tolong perbaiki bug berkali kali chicken dinner suruh download data mengkecewakan,1,0
seru anjing,3,1
bagus high definition pusing mainnya,3,1
game bagus sinyal jelek login pubg server menanggapi sinyal turun buka youtube lancar lancar aplikasi latar tolong perbaiki secepatnya kenyamanan pemain sinyal jelek bro anjing,2,0
pengalaman main game puas segi event gameplay,5,2
alok,3,1
game lag,1,0
pemula kasih bintang gamenya enak seru main bareng mikropon peta luas bagus bug kesal menyalahkan game sinyal stabil bagus kurangi update,3,1
pubg tercinta mengeluh server teman tim setara musuh dimana tim musuh hebat tim pemula,3,1
grafis batas high definition pubg state grafis memuaskan pubg asli,1,0
pubg good game,5,2
coba mudahan bug,3,1
game,3,1
seru giga byte,1,0
gema anjing gema babi,1,0
makan paket kasih bintang kasih bintang,3,1
download,4,2
perangnya seru,3,1
mohon perbaiki bug sisi sinyal peta tersedia bug play game menyusahkan player,3,1
game berat,2,0
tolong bug suara setan update game play delay suara tembakkan tunggal otomatis bantulah perbaiki secepatnya,3,1
tolong perkecil ukuran update,5,2
level vs,1,0
game penuh bug cheat terbaik player game bertahan kuantitas player kualitas player mobil badan masuk pohon aneh player lag game sampah menyesal beli royale flush cheat damage tembak badan peluru langsung knock,1,0
game bagus tolong diperbaiki kali main squad teman main loading selesai loading langsung mati tembaki musuh menerus tolong diperbaikinya,3,1
bertahan teman pensiun,5,2
bintang mencoba game bagus kasih,3,1
livik bagus livik biar sial sial skin harapkan dapatkan glacier,4,2
bagus mahal upgrade,3,1
suka pubg asyik permainan admin,5,2
cheat,2,0
dikembangkan grafiknya mendukung player kualitas device rendah,3,1
balikkan pubg kaya hey main berubah enak kali,2,0
admin kolaborasi tolong,3,1
main game man masuk akun main lancar masuk pakai akun masuk akun habis update masuk pakai akun update disuruh update update berulang ulang masuk game tolong masuk game terima kasih gamenya suka menghibur,3,1
cepat benarkan tencent masak main macet loading aduh,1,0
masuk clone koneksi internet lancar bug merepotkan player pubg bug ganti kamera fpp bug karakter pose fpp memakai granat menu memilih loot heal granat kumpulkan muncul dilayar sekian terima kasih,3,1
frame drop fps kosong penyimpanan luas aman gamenya frame drop tolong perbaiki,4,2
mohon maaf bermain sinyal rendah merah kuning wifi,4,2
game terbagus,1,0
ok,3,1
tolong player handphone kentang maksimalkan biar ramai giga byte enak banget main giga byte foto kopi mencetak rusak parah,1,0
handphone kentang,4,2
haram,1,0
frame handphone kompatibel,4,2
developer mohon musuh seimbang kalah kali,2,0
game bagus sayang suka lag sinyal lancar update player menyingkir lihat update,3,1
game anjing game haram install kena,1,0
notifikasi update teman,4,2
masuk,3,1
game fps mudah banyakkan bot,4,2
tolong optimal bug,3,1
kali rilis pubg game minati orang anak anak orang dewasa sayang pubg mainkan orang handphonenya keatas berat lambat tolong perbaiki terima kasih,5,2
permain jelek,2,0
error update,3,1
gamenya bagus ketemu musuh patah patah gamenya sinyal lumayan bagus,4,2
aplikasi bagus,3,1
download kali pasang peringatan penyimpanan,1,0
terima kasih pubg hoki,5,2
game bagus,4,2
update wow lag parah,2,0
game berat tolong ringan game download,1,0
keseringan update update main peta game mode didalam langsung update update admin tencent cari untung,2,0
terhormat developer pubg mobile memantau perkebangan terkait isu bug didalam game terjun pesawat kali mengalami namanya parasut berputar lompat pesawat kali didaratan bug mengalami sembunyi dibalik tembok lawan semoga update kali perkembangan bagus performa bermain terima kasih,3,1
bagus kerja,5,2
cocok device kentang device memiliki processor mediatek semoga update mengoptimalkan kelancaran bermain game sekian terima kasih,1,0
game bagus orang banyakkan kasar,3,1
gacha hoki,3,1
bug recall perbaiki mohon developer fixed bugnya bug landing lompat mati tolong fixed,3,1
visual banned mantap conqueror push pakai visual pantasan rating turun serius menangani cheat otomatis aim dinding pelindung jump shot tambahkan skin damage hahaha,1,0
bagus,5,2
main masuk lag permainan sinyal bagus kualitas gambar turunkan,2,0
koneksi hilang game lobi bug bermain tdm,3,1
masuk pubg tolonglah,3,1
mohon perbaiki banget kena bug pesawat sayap ekornya turun ruins paradise mohon perbaiki kakak sekian terima kasih kasih bintang penuh pubg mobile,4,2
akun kena seminggu pakai cheat tolong diulang pubg,3,1
bagus,4,2
masukan pubg mobile banget grafis optimalkan handphone handphone spesifikasi mencukupi main game patah patah sinyal ok bagus main perang kadang fps drop kecewa ramai mengganggu match mode fpp pemain ganti bot push pertandingan menunggu pertandingan mengurus mode tpp arus seimbang,5,2
coba,3,1
game haram,1,0
berat game user handphone ekonomi menengah mainkan game mode game,2,0
buka uninstall download mohon perbaiki,3,1
login update mega byte susul update mega byte selesaikan game coba login update lakukan lakukan kali login update mega byte kuota internet habis update main kecewa,1,0
game anjing edit bug damage,5,2
bagus gamenya tolong kurangkan mega byte tambahkan grafis jelek handphone jelek bermain,3,1
update player handphone kuat update player main,3,1
iklan,4,2
permainan bagus pass login kali,4,2
mendukung,2,0
gamenya bagus lag handphone mendukung high definition sinyal bagus bug mengesalkan suara hilang baju tekan ganti,3,1
lumayan,3,1
kakak mode metro royale dihapus kakak tolong balikkan mode metro royale,2,0
frame bug ukuran pubg,2,0
berat game,2,0
terima kasih,2,0
asyik game,5,2
mengalami frame drop tolong perbaiki,3,1
update versi terbaru handphone sulit main lag,5,2
tolong tencent turunkan data giga byte main pubg,4,2
pubg loading kali bro,4,2
good game,5,2
lag bro,1,0
mohon developer naikkan merit match poin merit sulitkan main rank koneksi jelek kadang terkeluar mohon,3,1
sulit sulit download download data bajingan,5,2
game harga,2,0
cocok,3,1
berat main handphone kuat tolong kembalikan biar handphone kentang main mendukung handphone sultan tolong kembalikan,1,0
bagus senang,4,2
semenjak update gangguan handphone download isinya lag parah pakai redmi,3,1
game bagus menarik file handphone kebawah,2,0
temanku hack,1,0
ramah untung handphone kentang,3,1
sinyal stabil,3,1
kasih bintang jahat hahaha,1,0
update aplikasi isinya bug cheat,3,1
mantap,5,2
bagus lumayan,5,2
handphone lag parah pakai handphone lag,5,2
update,3,1
kue puff bagus pagi sunshin,4,2
game haram,1,0
pastikan keselamatan kekal,4,2
mati kocak,1,0
gamenya bagus sinyal fps harap perbaiki developer,3,1
beruntung server kali masuk pubg mobile macet loading kecewa,1,0
game mantap,5,2
bug turun parasut sayang banget gamenya bagus banget,3,1
mencoba game mencoba main,1,0
kesal pemain jalankan kendaraan suka muncul bug glitch menunggu jalan normal semoga cepat perbaiki terkait bug terima kasih,3,1
sempurna bug mohon perbaiki segi gameplay bagus bagus free fire bug perbaiki tonton teman perang orang jalan mohon baiki semoga dibaca,3,1
habis match loading main kejadian terulang,2,0
game enak main metro royale langsung terjatuh fixed bug,2,0
pengaturan giroskop error,2,0
bug bro pemain musuh frame update update performa biar frame lag ketemu musuh malas main pubg masak main pubg handphone harga mahal hilang penggemar pubg kalangan,3,1
berat game main terkendala handphone main game,2,0
perang jarak knock revive ikon kontrol hilang ikon lari ikon fire tombol kiri hilang,3,1
lumayan,4,2
tambahkan otomatis aim biar free fire keren pubg auto aim,3,1
mantap keren,5,2
update masuk versi main,2,0
update game berat hapus pubg bosan gara pubg mempertimbangkan handphone bagus handphone kentang,1,0
game loading game seru,3,1
buruknya cheat,2,0
game hebat main handphone kentang contohnya giga byte aduh lelah hapus download tolong krafton turunkan penyimpanannya hapus event,2,0
pubg berat game pengguna iphone keterbatasan tolong tencent saran sayang headphone,2,0
player using cheat knock run really cepat tolong respect competitive player,5,2
bagus banget puas main tolong sistem gacha peti naikan item,4,2
tolong ringankan game kasihan device rendah main pubg berat kasihan tolong ringankan game download otomatis pakai wifi tolongan download otomatis pakai wifi biar tenang,1,0
maaf developer unlock smooth ekstrim chipset snapdragon chipset mendukung,2,0
bug perlengkapan medis hilang loot rasakan tolong perbaiki bug sekian,5,2
ok,4,2
pembaharuan gunanya sinyal bagus sulit login menyalahkan sinyal ayolah,1,0
handphone snapdragon,1,0
bosan,2,0
main sulit banned bug ketemu orang bug mati bug mohon baiki kasih bintang,3,1
update peta bambang boros berat event tinggal update event skin update lebay giga byte nyaman main pubg,2,0
grafis buruk,3,1
game lumayan ok grafis bagus banget player kali main butuh dukung semoga bagus mainnya,4,2
bos gagal masuk siang main malam masuk,1,0
lag,3,1
bisanya match rank tdm,3,1
bagus,3,1
harap bugnya perbaiki main kuota bermain arena peluru muncul,2,0
hapus slide tdm banget menjadikan pertandingan seimbang,1,0
membaik pemeliharaannya menurutku tambahkan senjata pubg mobile pubg pc original,4,2
game haram spin masker blind noble,5,2
bug revive benarkan hey tencent knock teman revive tombol pencet berkali kali sinyal bagus tolong perbaiki,3,1
terima kasih menghibur kerjaan main fokus titik tujuan main gara penyimpanan handphone mendukung terima kasih,5,2
bagus,5,2
bintang pubg berat download resource otomatis matikan fitur download pubg mengunduh data layar pakai,3,1
bilang pubg berat handphone kentang,5,2
salam prajurit player pubg bermain musim berduka tencent game pubg ukurannya event event masuk akal berharap kedepannya pubg mobile kedepannya ukuran game event acaranya masuk akal,3,1
server terbaca sinyal bagus kuota internet heran pubg login video loading lumayan,3,1
bagus game,3,1
pubg terhibur game kendala bermain player pubg bicara kasar,3,1
kolaborasi black sinyal,3,1
game jelek banget turun pangkat giliran rekomendasi,1,0
bagus main,5,2
developer habiskan kuota main game download masuk download play store download teraman developer suka menyulitkan player bagus sinyal mega byte second lag kasih start game menyulitkan,1,0
mantap kali game koneksinya boros main menghasilkan giga byte hangus,2,0
redmi note pro update grafis smooth ultra,3,1
kecilkan tencent ukuran aplikasi biar main,4,2
update peta erangel render gurun pasir,2,0
coba bagus blok,4,2
coba,4,2
bug mohon diperbaiki,4,2
pubg bug malas main,3,1
update tolong kualitas grafis smooth menyukai game kendala handphone kentang sulit bermain,3,1
mantap,5,2
game battle royale terbaik kenangan disana terima kasih,5,2
tolong bug hapuskan,2,0
kurangi pemakaian cpu gpu,4,2
berhubung kemerdekaan tolong tambahkan senjata milik indonesia,5,2
gema bagus,5,2
update game lag kadang kadang frame drop handphone giga byte suara tembakkan parah orang tembak tembak sinyal ok mohon diperbaiki pensiun,2,0
segi game bagus koreksi match mode rank peta bertemakan kota contohnya gedung maaf menyulitkan developer sekian terima kasih,4,2
berat game user handphone ekonomi menengah mainkan game mode game,2,0
gen jelek jelek anjing bangsat ok,3,1
gamenya bagus mamaku bangga mengunduhnya saran pintunya upgrade game sebelah iri pintu pintu pagar kolaborasi tanggal live sayangku anjing,5,2
enakan pegang tencent data game giga byte dipegang tencent batas giga byte menyimpan data game pensiun,2,0
minusnya gara download aplikasi game kehilangan pacar,3,1
device processor snapdragon mengalami frame drop berhadapan musuh game frame drop processor mendukung game game menyempurnakan processor sistem device mohon perbaiki secepatnya salam winner,4,2
developer tolong mega byte handphone android kasihan,4,2
game pakai kouta mati kouta kasih bintang,3,1
bug cheat aman bug permainan event banget bug,3,1
ramai ramai suka bug,3,1
kasih bintang musuh payah payah poin streak turun kalah poin bug suara langkah kaki lambat muncul suara tembakkan bug gameplay berat main main orang menyesal,3,1
game buruk game mainkan login persulit game,1,0
beli uc,1,0
game bug rekomendasi,1,0
game grafis buruk download,1,0
banyakkan skin event perang karnaval anjing,1,0
pemain free fire,3,1
mega byte handphone memori giga byte macet kasihan,3,1
change pubg smartphone low end pakai pengaturan low end membawa pubg long ago membawa get player pubg lot maaf inggris buruk suka pubg maaf,5,2
maaf kasih bintang download kali pasang aplikasinya emosi aplikasi bug parah wifi mohon perbaiki,2,0
cheatnya banned cheat kena banned seminggu main coba randomnya curiga main pubg,2,0
bagus menarik,3,1
sinyal bagus main tolong perbaiki,3,1
mantap,3,1
ok,4,2
grafis buruk,2,0
pubg tencent keanehan skin menghilang bug tembus tembok cheat musuh tembak perusahaan pubg harap perbaiki terima kasih,2,0
rindu mode malam situ pubg ramai seru,3,1
giga byte,2,0
download kepasang ya,1,0
game bagus suka bug tolong pubg,4,2
tombol larinya hilang,3,1
seharian gagal login twitter,1,0
uc uc,3,1
bagus luck game indonesia,4,2
mantap banget game,3,1
ayo download pubg pubg let download pubg right,5,2
bintang pubg lag,3,1
terima kasih,4,2
sayang update sulit,2,0
main terputus seru serunya kecewa,3,1
musuhnya keras aimnya muncul kepala otomatis headshot,3,1
hey,5,2
mohon ukuran kurangi kasihan patah patah,2,0
game sultan,1,0
game bagus,5,2
game device kentang maaf uninstall,1,0
gila jelek banget omay,3,1
game jelek penuhi memori,1,0
jarang hoki,5,2
sulit cari material upgrade senjata tolong material upgrade senjata disediakan toko,4,2
bug mengambil senjata bug medkit slot bom menghilang suka bug pertempuran main menghilangkan stress stress grafis bagus sempurna lag handphone penyimpanan giga byte,4,2
ok gamenya bagus ukuran game tolong infinite ringan player berspesifikasi handphone rendah bermain pendapat game selebihnya ok,3,1
pembaruan pindah game seru,2,0
tencent tolong kasih tim seimbang tim berguna tolong kasih tim handalkan,1,0
game kadang bug,1,0
bagus optimal chipset snapdragon batas ultra padalah game kebuka fps tolong perbaiki,3,1
game bug foot step,1,0
pubg game jelek anjing,1,0
cemas celana masuk shield,3,1
bug suara dimana suaranya kebalik arah suara tembakkan arah timur orangnya tembak disebelah barat bingung tolong fixed secepatnya berlaku kendaraan,3,1
suka,5,2
ok ok,3,1
bagus,5,2
habis update server error,4,2
perbaiki server keluarnya sinyalnya,2,0
kasih bintang update,3,1
seru bug,3,1
segi grafis permainan lumayan frame drop koneksi bermasalah,3,1
user antusias gamenya lancar terkadang gamenya servernya perbesar,3,1
hadiah diperbaiki tencent,3,1
mengalami tata letak hilang utilities hilang tombol pengisian darah,4,2
game berat kemarin update frame drop ketemu bot frame main handphone nyaman,2,0
game login,1,0
pubg game haram,1,0
main handphone macet penyimpanan tahan,4,2
gacha peti klasik sulit item legendary main musim musim item legendary peti klasik mythic mendapatkannya,2,0
bagus game,5,2
game emosi,1,0
tolong perbaiki,3,1
good game,4,2
game mengalami macet loading ranked sinyal bagus selebihnya mantap,4,2
masuk login akun facebook nama already taken pilih karakter bentuk rambut lobi tunggu perubahan lihat youtube beda game aneh,2,0
maaf versi tertinggi,2,0
pubg pintu free fire hinaan kenyataan,5,2
delay giroskop,3,1
developer mode metro royale hapus update mode,5,2
glacier habis uc gachanya parah otomatis pensiun kecewa,1,0
recall bug,3,1
mantap,4,2
terima kasih mengabulkan permintaan pengaturan smooth ultra unlock fps device hardware berharap kedepannya snapdragon seri keatas tersedia pengaturan smooth ekstrim,5,2
asyik pubg zaman,2,0
penyimpanan giga byte upgrade tinggal warga game bagus seru patut sayangkan,2,0
bug cheat disayangkan,3,1
processor chipset memadai didukung giga byte kombat lag sinyal sinyal internet bagus,4,2
wifi data lag parah,2,0
update bukanya lancar bug karakter wajar,3,1
mohon game pubg mobile perkecil files handphone smooth medium high memainkan game frame drop patah patah mohon update kedepannya,3,1
mantap sedap,4,2
ramah handphone kentang umbian,3,1
ukuran,3,1
update,3,1
tambahkan fitur kunci lobi ganggu mengunci biar orang join ganggu kadang join lobi terima permintaan join enak,5,2
main,3,1
game bagus sayang bug perbaiki semoga cepat perbaiki,3,1
coba lihat shop penukaran khusus koin silver gambar baju disana ornamen buku alquran disitu ditulis ornamen kitab sihir parah tindakan melecehkan agama,1,0
mengerti banget mainya main,3,1
pubg berat banget diram berat mohon ringan biar nyaman mainnya,3,1
belajar noob,2,0
game main cheat kena banned deteksi perilaku pertandingan normal dipantau ketat melindungi lingkungan permainan pemeriksaan keamanan ketat pertandingan game,1,0
tolong pubg teman setim curang membunuh teman banned kurangi merit,1,0
pubg,3,1
semangat pejuang kentang,5,2
server buruk,2,0
disuruh tolong dibantu,3,1
game free fire seru mainnya sulit,5,2
lag,3,1
mantap,4,2
mantap,4,2
semalam update main buka muncul tencent sejam data hidup paket giga byte sinyal handphone vivo baterai penuh,3,1
semangat,5,2
kasih bintang aim sulit atur,3,1
update main sarankan update ulang update wifi aduh,2,0
dasar pubg mobile haram,1,0
sarannya kurangi ukurannya kasihan handphoneku kentang,3,1
update peta,3,1
bagus game,4,2
tolong kali skin royale pass musim adakan skin mobil motor banyakkan gantungan tas peringkat skin mobil motor golden peti aduh,2,0
main erangel force tutup main peta force tutup,1,0
update,1,0
cocok device kentang device memiliki processor mediatek semoga update mengoptimalkan kelancaran bermain game sekian terima kasih,1,0
bug spawn hey tolong fixed jalan sinyal aman,3,1
halo tencent tolong device realme akses grafis smooth ekstrim,3,1
game grafis buruk pintu,1,0
seru membosankan sayang update memori habis,3,1
tolong kasih senjata skin pakaian keren mohon musuh sulit kasih musuh bodoh bodoh kemenangan main pubg,5,2
game bagus download data dipaksa habis paket data,4,2
dibom teman laporkan respon,1,0
suka suka,3,1
grafis kontrol bagus bug spectator dimana spectator teman musuh bergerak bergerak terdengar suara tembakkan step audio,4,2
sialan tolong developer cepat menanggapi kaya game bug tolong perbaiki pengalaman bermain player sekian,3,1
game sukai game membosankan bug cheat bermain,3,1
gas,4,2
bagus game,5,2
handphone meledak room patah patah,3,1
lobi sinyal lag parah battle sinyal enak main pubg,2,0
level vs,1,0
kakak tolong handphone grafis high definition bosan grafis standar tolong kakak grafis high definition main,1,0
terbaik,4,2
nilai bintang login login main login tolong perbaiki game,2,0
pubg rekomendasi main pubg,4,2
mencoba,3,1
koneksi stabil update rusak game tencent,1,0
suruh pilih karakter pilih masuk suruh pilih karakter tulisannya login biar login masuknya suruh pilih karakter,2,0
mohon bantuannya tencent akun login kesalahan permainan solusi mohon bantuannya,3,1
gamenya seru tolong game tower fantasi servernya masuk download data,4,2
bagus,5,2
permainan bagus sayang,2,0
kadang sinyal lancar suka lag menentu kadang ketemu musuh suka tegang,3,1
hai game come playing game wait,5,2
tolong pembatasan tier main bareng teman mohon hapus,3,1
bagus game,3,1
tolong fixed respawn island walk annoying makes musuh mudah shot,2,0
bug mikropon benarkanlah benarkan,1,0
game bagus grafis mantap update menbosan update menarik arena permain hadiah sebua pemain menari pemain semoga suka,4,2
server kaya sampah,2,0
bug developer perbaiki mengeluh bug lag,4,2
tolong banget bug turunkan tolong hilang mengganggu player,3,1
turun patah mati ditembak musuh servernya aneh banget matchmaking jarang ketemu player indonesia ketemu,2,0
aplikasi bagus,5,2
keren,5,2
tolong perbaiki pubg lag parah tolong tencent,2,0
tujuan maksudnya menginstal mega byte pantasan bilang game haram update beda free fire tolong perbaiki update terima kasih,3,1
admin tolong benarkan bug mode perang spawn analog,3,1
banyakkan bug bodoh pubg main free fire handphone bug game bodoh,1,0
bagus peta peta game bug patah tolong diperbaiki,3,1
bosan anjing,2,0
kadang suka muncul notifikasi permintaan habis,3,1
good game game,3,1
mendapati kegagalan masuk twitter tolong perbaiki,2,0
teruntuk admin gamenya bug bermain tim death match mengalami bug sinyal bagus tolong admin tindak lanjuti terima kasih,3,1
tolong,4,2
bug developer perbaiki mengeluh bug lag,4,2
akun banned cheat aplikasi ilegal,3,1
patah,4,2
bilang aneh aneh frame hilang hilang zaman batu alasan buka pubg situ aplikasi perbaiki player kasih bilang handphone kentang bilang kentang game kalangan menengah kalangan mengatas wajar mengeluh perbaiki motivasi salahkan buka aplikasi mengerti admin kenyataan kaya bijak admin,3,1
bug lelah push bug,3,1
seru meresahkan bug tombol medkit tombol bom kadang hilang match tombol medkit tombol granat hilang match kadang,3,1
bagus keren bug,3,1
game haram,1,0
berat,2,0
tolong perbaiki bug,3,1
spectator die bug,3,1
rindu musim,5,2
push rank jam perhatian jelek game mainkan bilang anjing developer perhatian,1,0
game bug permainan sinyal penuh hijau pakai wifi macet,1,0
update server jelek sinyalnya lancar aman main game tolong diperbaiki,2,0
game bagus tolong kurangi orang memainkan game,4,2
update ukurannya banget,1,0
game bagus grafis high definition game pubg maksimal high definition,5,2
game suka lag gamenya bagus,4,2
lumayan bagus,2,0
login facebook tolong perbaiki akun harian,2,0
bermain teman mode rank rank kill death rasio,5,2
bagus,3,1
login facebook pubg login muncul otorisasi dibatalkan,3,1
btr bubar kukasih bintang,4,2
bintang game berat,3,1
server sinyal,3,1
admin login facebook handphone satunya handphone satunya akun kesayangan admin temani sayang banget,4,2
bagus everybody grafis nyata,5,2
game bug main free fire seru,1,0
bagus mengunduh,5,2
game bagus suka bug tolong pubg,4,2
bug main moga bagus,3,1
update tembus game play store update selesai update,4,2
kasih bintang download banget koneksi sinyal bagus,2,0
pubg maju game terseru dunia,4,2
peta event erangel rusak ulang relog rusak dicoba hapus peta hasil main bareng,2,0
emoticon anjing,2,0
good game,4,2
bagus,5,2
seru,5,2
layar bergerak open scope hancur game perbaikilah,3,1
game rusak main giroskop error,1,0
maaf,5,2
akun kunci permainan kecelakaan lempar bom arah musuh teman maju kena bom masak akun langsung banned,3,1
masuk tayangan ulang lanjutan lobi,3,1
tolong optimalkan handphone giga byte memakai render dragon bermain pubg game favorit game online battle grounds harap kemajuan melupakan kenangan game uninstall bermain game kejadian main pubg langsung install mohon mengerti,3,1
mengirim keluhan karakter melambat akun retas sinyal bagus aneh operator pubg menanggapi game kalah saing game online lainkarna player nyaman,1,0
menyebalkan metro ketemu cheat lucu ketemu pemain cheat pemain main asli keganggu bug belom betulkan betulkan,1,0
gamenya bagus banget download,5,2
tolong perbaiki bug hilangnya tombol healing utility bermain paksa membuka manual inventaris healing fitur utility smoke granat,3,1
game penyimpanan,2,0
coba,3,1
bug teman banyakan afk mohon diperbaiki,3,1
menghibur semoga mertuamu,5,2
developer tolong unbanned akun cheat apapun bermain pubg,4,2
giroskopnya hidupkan dipengaturan kontrol,3,1
halo botak,4,2
frame main coba frame main,2,0
kakak giga byte lag frame,3,1
game lag parah,1,0
gamenya berat,2,0
turun kasih senjata bug giliran musuhnya langsung beryl babi babi babi,1,0
gamenya bagus,5,2
bug giroskop error,3,1
gerak lumayan bagus kasih bintang gerakkan tembak orang bergetar mohon bug hilangkan mohon matching percepat main matching banget permintaan lakukan kasih bintang,4,2
game ram,3,1
bagus,5,2
tolong diperbaiki admin bug mati mode squad bug spectator kawan recall,3,1
kembalikan pubg zaman admin,1,0
bagus,4,2
maaf bintang download main free fire gara handphone kentang main pubg,4,2
bagus,4,2
download blackpink,3,1
tolong admin handphone internal squad pakai mobil handphone frame drop gerak sinyal bagus bagus admin terima kasih admin solusinya admin,4,2
suruh install ulang,2,0
repot tolong update,4,2
bro mantap,5,2
ukuran kecilkan berat bos,2,0
game jelek kumbang hidup,1,0
game terbaik,5,2
high definition,5,2
tolong tencent tingkatkan performa fps bermain berat banget handphone samsung giga byte room internal giga byte sisa giga byte mengunduh resource grafis rendah mengalami fps stabil frame drop dimohon tencent mengertilah player device rendah meningkatkan performa fps stabil mewakili player player handphone device low,4,2
keren,5,2
tolong perbaiki bug sinyal,3,1
game grafis buruk loading banget hapus game,1,0
kasih bintang permainan ok terima kasih terima kasih,3,1
tencent terima kasih mendengarkan keluhan masukan pembatasan tier meresahkan matchmaking sesuai tier random update game menambah kapasitas penyimpanan handphone sekedar masukan update mohon file dihapus menambah beban handphone suara audio game kadang membingungkan sumber daya klasik skin download ulang kapasitas sekian terima kasih,3,1
suka suka,4,2
dikembangkan grafiknya mendukung player kualitas device rendah,3,1
performa buruk device menengah kebawah harap game diperhatikan optimasi ramah perangkat,2,0
game menarik free fire,1,0
game bagus,5,2
orang orang bodoh bilang bug apalah main pubg handphone redmi note enak banget lancar lag lag bug bug apalah lancar bermain pubg lihat penyimpanan giga byte tersedia banyakkan game memperberat bermain pubg aduh,5,2
game elit sinyal sulit,1,0
ok game bagus,5,2
berharap lobinya,3,1
tolong ringankan device menengah terima kasih,1,0
log akun ceritanya,3,1
game bagus kaya free fire,1,0
game bagus mendarat lag banget mobil bug terbang wifi,2,0
bug tolong perbaiki,3,1
kurangi bintangnya kendala update login facebook mohon batuannya,2,0
dear developer game seru direkomendasikan bermain diwaktu luang permasalahannya matchmaking player mohon dipercepat matchmaking player dipertemukan penuh aimbot sistem banned mendukung player cheat terima kasih,3,1
lapor bug giroskop bergerak adjustment scope kadang kadang main,3,1
game jelek bro download sulit kali,3,1
main free fire pubg mati berasap kolaborasi free fire kolaborasi bts,1,0
update versi tersedia versi hey,3,1
memasang tata letak bagikan teman tolong jadikan tata letak sensitivitas musim,3,1
lumayan game ukuran giga byte bisalah menyiksa handphone jadul rendah,3,1
aneh update bug suara mobil hilang tolong fixed enak banget,3,1
tolong perbaiki grafis xiaomi grafis tablet pecah pecah nyaman bermain sulit musuh tolong tanggapi,3,1
tolong game gameplay tolong musim musim,3,1
game bagus,3,1
update update handphone,2,0
perbaiki,3,1
game haram berperang bertamu dasar game haram game bertamu haram game jelek enak game free fire epik game mahal jelek haram mengambil game haram game menyembah patung bodoh game haram,1,0
kentang handphone game berharap merasakan fps handphone kentang dengar kasih solusi handphone kentang mengorbankan skin main lancar,4,2
paket wifi data lag omong omong kartu mohon perbaiki,2,0
game berat versi aslinya,2,0
izin membuka akun terkena phising memainkan pubg musim laporan game pubg menanggapi ditanggapi akun mohon pubg membantu terima kasih,2,0
tolong tencent kurangi penyimpanannya frame kasihan handphone mendukung barbar frame,3,1
keren,5,2
aplikasi parah berat banget angkatan pembaruan pembaruan banget game sinyal telkomsel update selesai ulang makan kouta,2,0
permainan seru,4,2
bagus banget game,5,2
minimal kurangi lag bosan lag lag,2,0
suka game sayang bug,3,1
game lumayan bug,3,1
game bagus bug,2,0
